fase,modelo,perfil,semilla,etiqueta,umbral,n,prevalencia_real,TP,TN,FP,FN,accuracy,precision,recall,f1,f2,roc_auc,pr_auc,balanced_accuracy,specificity,fpr,fnr,mcc,brier,fold,valido,motivo,umbral_op,bloques_train,bloques_val,bloques_compartidos,lagos_val,train_hasta,test_fecha,prevalencia_inestable,experimento,train,test,ejecutable,prevalencia_train,prevalencia_test,scale_pos_weight
temporal,xgboost,standard,,fold7,0.9942890405654908,36668,0.0950147267372095,2326,33151,33,1158,0.967519362932257,0.9860110216193302,0.6676234213547646,0.7961663529009071,0.7137158637618901,0.9953822862359076,0.9631263402729494,0.8333144830978259,0.9990055448408872,0.0009944551591128,0.3323765786452353,0.7967455026496391,0.0370688922703266,7.0,True,,0.9942890405654908,,,,,2025-01-18 .. 2025-12-29,2026-01-08,False,,,,,,,
temporal,random_forest,standard,,fold8,0.8200840705376534,36130,0.0001660669803487,4,36124,0,2,0.9999446443398836,1.0,0.6666666666666666,0.8,0.7142857142857143,0.9993771453881076,0.7929085303186022,0.8333333333333333,1.0,0.0,0.3333333333333333,0.8164739792590686,0.000605784165278,8.0,True,,0.8200840705376534,,,,,2025-01-18 .. 2026-01-08,2026-02-02,False,,,,,,,
temporal,xgboost,standard,,fold8,0.9953077435493468,36130,0.0001660669803487,2,36123,1,4,0.9998616108497094,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.3703703703703703,0.9990772524268262,0.564116439116439,0.666652825453069,0.9999723175728048,2.768242719521648e-05,0.6666666666666666,0.4713458003396836,0.0027466069441288,8.0,True,,0.9953077435493468,,,,,2025-01-18 .. 2026-01-08,2026-02-02,False,,,,,,,
temporal,random_forest,standard,,fold9,0.7846424881530466,36561,0.0009573042312847,9,36525,1,26,0.9992615081644376,0.9,0.2571428571428571,0.4,0.3,0.9985075210613183,0.5434911924234286,0.6285577396922739,0.9999726222416908,2.7377758309149647e-05,0.7428571428571429,0.4808544855211943,0.0008988399667176,9.0,True,,0.7846424881530466,,,,,2025-01-18 .. 2026-02-02,2026-02-07,False,,,,,,,
temporal,xgboost,standard,,fold9,0.994933307170868,36561,0.0009573042312847,5,36526,0,30,0.9991794535160416,1.0,0.1428571428571428,0.25,0.1724137931034483,0.9986006054395696,0.5220782984007148,0.5714285714285714,1.0,0.0,0.8571428571428571,0.3778093512577483,0.0019553392194211,9.0,True,,0.994933307170868,,,,,2025-01-18 .. 2026-02-02,2026-02-07,False,,,,,,,
temporal,random_forest,standard,,fold10,0.7991995686021314,306130,0.0005193871884493,98,305947,24,61,0.9997223401822756,0.8032786885245902,0.6163522012578616,0.697508896797153,0.6464379947229552,0.9996813731823024,0.7311732772967695,0.8081368812257848,0.999921561193708,7.843880629209958e-05,0.3836477987421384,0.7035031847310729,0.0003460860393287,10.0,True,,0.7991995686021314,,,,,2025-01-18 .. 2026-02-07,2026-02-12,False,,,,,,,
temporal,xgboost,standard,,fold10,0.9947909116744996,306130,0.0005193871884493,82,305956,15,77,0.9996994740796392,0.845360824742268,0.5157232704402516,0.640625,0.5593451568894953,0.9996851347917236,0.726491220757899,0.7578371230931595,0.9999509757460674,4.902425393256224e-05,0.4842767295597484,0.660152299761375,0.0007321742014028,10.0,True,,0.9947909116744996,,,,,2025-01-18 .. 2026-02-07,2026-02-12,False,,,,,,,
temporal,random_forest,standard,,fold11,0.8149282874528582,305432,0.0001309620471987,13,305351,41,27,0.9997773645197622,0.2407407407407407,0.325,0.2765957446808511,0.3037383177570093,0.9994112484937392,0.2378198420526554,0.6624328731597422,0.9998657463194844,0.0001342536805155,0.675,0.2796063257526407,0.0003675374311611,11.0,True,,0.8149282874528582,,,,,2025-01-18 .. 2026-02-12,2026-03-24,False,,,,,,,
temporal,xgboost,standard,,fold11,0.9956499934196472,305432,0.0001309620471987,7,305373,19,33,0.9998297493386415,0.2692307692307692,0.175,0.2121212121212121,0.1881720430107527,0.9995147220621364,0.2071754249278653,0.5874688924398805,0.9999377848797611,6.221512023890606e-05,0.825,0.2169786437832243,0.0006765382713638,11.0,True,,0.9956499934196472,,,,,2025-01-18 .. 2026-02-12,2026-03-24,False,,,,,,,
temporal,random_forest,standard,,fold12,0.7802705319592376,36594,0.1067388096409247,2266,32686,2,1640,0.9551292561622124,0.9991181657848324,0.5801331285202252,0.7340459993521218,0.6332439078917952,0.979898774216606,0.9141587395290288,0.7900359719938375,0.9999388154674498,6.118453255017132e-05,0.4198668714797747,0.7428635179112093,0.0332125972798379,12.0,True,,0.7802705319592376,,,,,2025-01-18 .. 2026-03-24,2026-03-29,False,,,,,,,
temporal,xgboost,standard,,fold12,0.9951188564300536,36594,0.1067388096409247,2326,32678,10,1580,0.9565502541400228,0.9957191780821918,0.5954941116231439,0.7452739506568408,0.6475501113585747,0.9753543972286572,0.8903884270734953,0.7975940944801965,0.9996940773372492,0.0003059226627508,0.4045058883768561,0.7517910943196822,0.0314844511449337,12.0,True,,0.9951188564300536,,,,,2025-01-18 .. 2026-03-24,2026-03-29,False,,,,,,,
temporal,random_forest,standard,,fold13,0.7959673001077466,341452,0.0165791970760165,1486,335436,355,4175,0.986733127935991,0.8071700162954916,0.2624977919095566,0.3961610237270061,0.3034510925056157,0.9943558880175092,0.7099113602508337,0.6307202933418434,0.9989427947741304,0.0010572052258696,0.7375022080904434,0.4558650993308691,0.0078976027198565,13.0,True,,0.7959673001077466,,,,,2025-01-18 .. 2026-03-29,2026-04-13,False,,,,,,,
temporal,xgboost,standard,,fold13,0.9949384927749634,341452,0.0165791970760165,2207,335295,496,3454,0.988431756147277,0.8165001849796523,0.3898604486839781,0.5277379244380679,0.4353572414881445,0.9932446813680889,0.7246680941734467,0.6941916697053252,0.9985228907266722,0.0014771092733277,0.6101395513160219,0.5596025195336222,0.0225557330995798,13.0,True,,0.9949384927749634,,,,,2025-01-18 .. 2026-03-29,2026-04-13,False,,,,,,,
temporal,random_forest,standard,,fold14,0.7802456368556616,339536,0.0447934828707412,1915,324291,36,13294,0.9607405400311012,0.981547924141466,0.1259122887763824,0.2231934731934731,0.1524997212798828,0.9988488965947028,0.9710842414842722,0.5629006448460624,0.9998890009157424,0.0001109990842575,0.8740877112236176,0.3442760174953557,0.0144103126695925,14.0,True,,0.7802456368556616,,,,,2025-01-18 .. 2026-04-13,2026-04-28,False,,,,,,,
temporal,xgboost,standard,,fold14,0.9931666254997252,339536,0.0447934828707412,6036,324317,10,9173,0.97295426699967,0.9983460138934832,0.396870274179762,0.5679604798870854,0.4512424867677402,0.9991832314545174,0.9821193508676224,0.6984197205504008,0.9999691669210397,3.083307896043191e-05,0.603129725820238,0.6206992668606672,0.0049695582129061,14.0,True,,0.9931666254997252,,,,,2025-01-18 .. 2026-04-13,2026-04-28,False,,,,,,,
temporal,random_forest,standard,,fold15,0.894361647267237,36644,0.6291889531710512,15654,13501,87,7402,0.7956282065276716,0.9944730322088812,0.6789555863983345,0.806969611052401,0.7249571620432548,0.979776728997317,0.987899336846582,0.836276439063165,0.9935972917279952,0.0064027082720047,0.3210444136016655,0.6562596712831427,0.0554523049649198,15.0,True,,0.894361647267237,,,,,2025-01-18 .. 2026-04-28,2026-06-19,True,,,,,,,
temporal,xgboost,standard,,fold15,0.9952539205551147,36644,0.6291889531710512,18572,13350,238,4484,0.8711385219954153,0.9873471557682084,0.8055170020818876,0.8872115798022262,0.8363204063620152,0.9803681091865358,0.9883871879194296,0.8940007736344087,0.9824845451869296,0.0175154548130703,0.1944829979181124,0.7615142632758986,0.0730131119489669,15.0,True,,0.9952539205551147,,,,,2025-01-18 .. 2026-04-28,2026-06-19,True,,,,,,,
temporal,random_forest,standard,,fold16,0.9472260188854438,304106,0.0019894378933661,306,303460,41,299,0.9988819687871991,0.8818443804034583,0.5057851239669422,0.6428571428571429,0.5529454282616553,0.9995571406207466,0.8106813514500044,0.7528250169012474,0.9998649098355524,0.0001350901644475,0.4942148760330578,0.6673881275222999,0.0010259854249124,16.0,True,,0.9472260188854438,,,,,2025-01-18 .. 2026-06-19,2026-07-22,False,,,,,,,
temporal,xgboost,standard,,fold16,0.9964882135391236,304106,0.0019894378933661,281,303469,32,324,0.9988293555536556,0.8977635782747604,0.4644628099173554,0.6122004357298475,0.5140870837907062,0.9996282419971604,0.818937008115215,0.7321786868457225,0.9998945637740896,0.0001054362259102,0.5355371900826447,0.6452812510682763,0.0013565975241363,16.0,True,,0.9964882135391236,,,,,2025-01-18 .. 2026-06-19,2026-07-22,False,,,,,,,
temporal,logistic,standard,,fold1,0.97416752576828,36184,0.1357506080035374,4079,29351,1921,833,0.9238890117178864,0.6798333333333333,0.8304153094462541,0.7476173020527859,0.7951887086712415,0.967431940942892,0.8078696587668251,0.8844932776445904,0.9385712458429266,0.0614287541570734,0.1695846905537459,0.7082094757996789,0.2148675322532653,1.0,True,,0.97416752576828,,,,,2025-01-18 .. 2025-04-15,2025-04-28,False,,,,,,,
temporal,logistic,standard,,fold2,0.960845410823822,305290,7.533820302007927e-05,15,305172,95,8,0.999662615873432,0.1363636363636363,0.6521739130434783,0.225563909774436,0.3712871287128713,0.9976906887356344,0.3837876198681924,0.8259313550318959,0.9996887970203132,0.0003112029796866,0.3478260869565217,0.298116221632689,0.000823491893243,2.0,True,,0.960845410823822,,,,,2025-01-18 .. 2025-04-28,2025-05-13,True,,,,,,,
temporal,logistic,standard,,fold3,0.967351496219635,298689,0.0011684394135706,293,297967,373,56,0.9985637234715709,0.4399399399399399,0.839541547277937,0.5773399014778325,0.7104752667313288,0.9868467650896569,0.7226167375038356,0.9191456479434532,0.9987497486089696,0.0012502513910303,0.160458452722063,0.6071575604996945,0.0032373359426856,3.0,True,,0.967351496219635,,,,,2025-01-18 .. 2025-05-13,2025-07-17,False,,,,,,,
temporal,logistic,standard,,fold4,0.9745318293571472,305298,0.0010907375744354,285,304603,362,48,0.9986570498332776,0.4404945904173106,0.8558558558558559,0.5816326530612245,0.7200606366851945,0.9931183113663072,0.6131109249779574,0.9273344171971885,0.9988129785385208,0.0011870214614791,0.1441441441441441,0.6134674716757172,0.0047258865088224,4.0,True,,0.9745318293571472,,,,,2025-01-18 .. 2025-07-17,2025-11-21,False,,,,,,,
temporal,logistic,standard,,fold5,0.9708456993103028,36434,0.0282428500850853,869,35018,387,160,0.984986551023769,0.6918789808917197,0.8445092322643343,0.7606126914660831,0.8088235294117647,0.9945371955145162,0.8473294349879561,0.9167892863764828,0.9890693404886316,0.0109306595113684,0.1554907677356657,0.7569307301827799,0.0892717316746711,5.0,True,,0.9708456993103028,,,,,2025-01-18 .. 2025-11-21,2025-11-24,False,,,,,,,
temporal,logistic,standard,,fold6,0.9697592854499816,309406,0.0008306238405202,211,308019,1130,46,0.9961991687297596,0.157345264727815,0.8210116731517509,0.2640801001251564,0.445335584634867,0.9891509065812184,0.1322886351715219,0.908678238880266,0.9963448046087808,0.0036551953912191,0.178988326848249,0.3584482171892968,0.0078320810571312,6.0,True,,0.9697592854499816,,,,,2025-01-18 .. 2025-11-24,2025-12-29,False,,,,,,,
temporal,logistic,standard,,fold7,0.9656084775924684,36668,0.0950147267372095,2721,32917,267,763,0.9719101123595506,0.9106425702811244,0.7809988518943742,0.8408529048207664,0.8038879697471047,0.9931019685181576,0.9382041385452178,0.8864764028035035,0.9919539537126326,0.0080460462873674,0.2190011481056257,0.8284762832881878,0.0764370113611221,7.0,True,,0.9656084775924684,,,,,2025-01-18 .. 2025-12-29,2026-01-08,False,,,,,,,
temporal,logistic,standard,,fold8,0.969716727733612,36130,0.0001660669803487,5,36075,49,1,0.9986161084970938,0.0925925925925925,0.8333333333333334,0.1666666666666666,0.3205128205128205,0.999718561990182,0.5140667761357417,0.915988447200384,0.9986435610674343,0.0013564389325656,0.1666666666666666,0.2775100644055973,0.0481071881949901,8.0,True,,0.969716727733612,,,,,2025-01-18 .. 2026-01-08,2026-02-02,False,,,,,,,
temporal,logistic,standard,,fold9,0.9645876884460448,36561,0.0009573042312847,22,36461,65,13,0.9978665791417084,0.2528735632183908,0.6285714285714286,0.360655737704918,0.4845814977973568,0.997557121737158,0.2335255982050983,0.8133959371406669,0.9982204457099052,0.0017795542900947,0.3714285714285714,0.3978387796206261,0.0116110313683748,9.0,True,,0.9645876884460448,,,,,2025-01-18 .. 2026-02-02,2026-02-07,False,,,,,,,
