lago,fecha,umbral_ug_L,pixeles_positivos,pixeles_agua,pct_area_afectada,area_afectada_ha,area_agua_total_ha
Atitlan,2025-12-29,50.0,0,309406,0.0,0.0,12376.24
Atitlan,2026-02-12,8.0,159,306130,0.05193871884493516,6.36,12245.2
Atitlan,2026-02-12,20.0,5,306130,0.0016332930454382125,0.2,12245.2
Atitlan,2026-02-12,25.0,2,306130,0.000653317218175285,0.08,12245.2
Atitlan,2026-02-12,50.0,0,306130,0.0,0.0,12245.2
Atitlan,2026-03-24,8.0,40,305432,0.013096204719872181,1.6,12217.28
Atitlan,2026-03-24,20.0,0,305432,0.0,0.0,12217.28
Atitlan,2026-03-24,25.0,0,305432,0.0,0.0,12217.28
Atitlan,2026-03-24,50.0,0,305432,0.0,0.0,12217.28
Atitlan,2026-04-13,8.0,62,304666,0.0203501539390677,2.48,12186.64
Atitlan,2026-04-13,20.0,0,304666,0.0,0.0,12186.64
Atitlan,2026-04-13,25.0,0,304666,0.0,0.0,12186.64
Atitlan,2026-04-13,50.0,0,304666,0.0,0.0,12186.64
Atitlan,2026-04-28,8.0,23,304625,0.007550266721378744,0.92,12185.0
Atitlan,2026-04-28,20.0,0,304625,0.0,0.0,12185.0
Atitlan,2026-04-28,25.0,0,304625,0.0,0.0,12185.0
Atitlan,2026-04-28,50.0,0,304625,0.0,0.0,12185.0
Atitlan,2026-07-22,8.0,605,304106,0.1989437893366129,24.2,12164.24
Atitlan,2026-07-22,20.0,17,304106,0.005590156064003999,0.68,12164.24
Atitlan,2026-07-22,25.0,1,304106,0.00032883270964729404,0.04,12164.24
Atitlan,2026-07-22,50.0,0,304106,0.0,0.0,12164.24
