lago,fecha,n,NDVI_chl,NDWI_chl,NDCI_chl,FAI_chl,NDVI_NDWI
Amatitlan,2025-01-28,36550,-0.00028298412509673734,0.11726765502296385,0.6779714974240691,0.4972081072565994,-0.8963186677887561
Amatitlan,2025-04-15,36185,0.7926580112529047,-0.5783189668691604,0.9094193422530275,0.886567027545516,-0.8762914288124828
Amatitlan,2025-04-28,36184,0.8404180105378649,-0.6975886539661976,0.8426826101273007,0.8835992539421688,-0.9469077726324542
Amatitlan,2025-11-24,36434,0.7125476457224964,-0.7416789838891454,0.7027382398831996,0.936033928916295,-0.9822149209890456
Amatitlan,2026-01-08,36668,0.7308730464130256,-0.762357955431417,0.7643796924466633,0.9411216423283579,-0.9920968230570423
Amatitlan,2026-02-02,36130,-0.12420575059160169,0.20171520057719494,0.7288487378293,0.4315805894044984,-0.9520098605132643
Amatitlan,2026-02-07,36561,0.13364601526490613,-0.1531567216150569,0.6582631788805732,0.6980063546906298,-0.9092312799331838
Amatitlan,2026-03-29,36594,0.8780996936703768,-0.7916298221540856,0.838308144744454,0.9551480142740887,-0.9265792452120367
Amatitlan,2026-04-13,36786,0.535424217236745,0.02255646080306269,0.8872423277685344,0.7015252137180596,-0.6714993171826399
Amatitlan,2026-04-28,34911,0.93609979348896,-0.8995025001342588,0.8915861665424809,0.959656203056514,-0.9914378574193062
Amatitlan,2026-06-19,36644,0.858738886090849,-0.7133054549747985,0.8723966130472872,0.888501955047095,-0.9438777310559339
Atitlan,2025-01-18,307893,0.46772563718307625,-0.4089939779413523,0.8818133326162576,0.49524830107456813,-0.9777138068132193
Atitlan,2025-04-13,305329,0.5563452186720786,-0.47791898795671334,0.8828606448836642,0.5301728767278543,-0.8954225955995381
Atitlan,2025-05-13,305290,0.7060711919744833,-0.6538724465542808,0.9272507348499588,0.5039687712069693,-0.9455259822181015
Atitlan,2025-07-17,298689,0.40792485024577324,-0.32889748149139725,0.7772767282961741,0.43251621524029615,-0.9141941775076041
Atitlan,2025-11-21,305299,0.5086361962050052,-0.4358916339200571,0.8899318278049557,0.5424275908496243,-0.965751075466065
Atitlan,2025-12-29,309406,0.5431000283019013,-0.4544924381530966,0.8600616083956043,0.4447297009930101,-0.9431367743872238
Atitlan,2026-02-12,306130,0.48428522641567395,-0.4166424616700278,0.8992784894509877,0.4773392764154945,-0.9580980253985091
Atitlan,2026-03-24,305432,0.5509182676934526,-0.47615714254499086,0.890302272765502,0.5515156174861435,-0.9648101093858105
Atitlan,2026-04-13,304666,0.5796020620856326,-0.5421297292018149,0.9226302724610256,0.3688464898517641,-0.9083767047960621
Atitlan,2026-04-28,304625,0.7223677682480489,-0.6718314849273801,0.925858746876902,0.5582586471825395,-0.9484281657257486
Atitlan,2026-07-22,304106,0.6395254817721263,-0.6091830374490464,0.905819519974627,0.5044394232362602,-0.9383769229227424
