lago,umbral_ug_L,n_fechas_superadas,n_pixeles,area_ha
Atitlan,8.0,0,310371,12414.84
Atitlan,8.0,1,680,27.2
Atitlan,8.0,2,208,8.32
Atitlan,8.0,3,117,4.68
Atitlan,8.0,4,83,3.3200000000000003
Atitlan,8.0,5,44,1.76
Atitlan,8.0,6,18,0.72
Atitlan,8.0,7,5,0.2
Atitlan,8.0,8,1,0.04
Atitlan,20.0,0,311468,12458.720000000001
Atitlan,20.0,1,56,2.24
Atitlan,20.0,2,1,0.04
Atitlan,20.0,3,2,0.08
Atitlan,25.0,0,311513,12460.52
Atitlan,25.0,1,14,0.56
Atitlan,50.0,0,311523,12460.92
Atitlan,50.0,1,4,0.16
