lago,fecha,n_pixeles_agua,area_agua_ha,chl_media,chl_mediana,chl_std,chl_p05,chl_p25,chl_p75,chl_p90,chl_p95,chl_p99,chl_min,chl_max,pct_fuera_calibracion,pct_chl_negativa,nubosidad_oficial_pct
Amatitlan,2025-01-28,36550,1462.0,4.418951430796133,4.483237323016272,0.8326137019844719,3.7799842318811443,4.261192672725827,4.635744819196402,4.748717302954155,4.816289641664511,5.356033735804133,-47.834439548000375,23.55620455271997,0.08755129958960328,0.06566347469220246,0.06
Amatitlan,2025-04-15,36185,1447.4,4.538752027492886,4.581162080106396,1.3497046194670135,3.161897053147456,3.559150503440268,5.117359293178514,5.9065797681999745,6.53456333270922,9.388658971819545,-39.00105230546062,26.283590619933626,0.07461655382064392,0.0497443692137626,0.09
Amatitlan,2025-04-28,36184,1447.3600000000001,5.767447261137627,4.877215728631031,2.9648291779639298,3.4946254236625114,4.087772382868026,6.307438313145347,9.031502676815894,11.514188072936873,17.925279254056797,-58.22262891983213,42.443246399458396,0.060800353747512706,0.033163829316825114,1.03
Amatitlan,2025-11-24,36434,1457.3600000000001,4.64299708948258,4.00846940064417,5.494488638909456,2.84346199924058,3.5485906500938964,4.554543013667207,5.1348212562759805,6.23448172733683,21.089122472881893,-43.28737805626147,113.82848564545341,0.4885546467585222,0.08234067080199814,0.5
Amatitlan,2026-01-08,36668,1466.72,6.654522123509337,4.889109379128722,8.557504644919648,4.071,4.714731804083021,5.195764076544913,7.73715254908537,13.233600150891577,51.508373590122574,-68.40148644799602,130.11810721619452,0.8290607614268573,0.0463619504745282,0.77
Amatitlan,2026-02-02,36130,1445.2,4.279655307732113,4.392298500616871,0.6459017865133557,3.593093185865784,4.0014532680109305,4.586315571877586,4.706096337031202,4.775665119517129,4.970111325883933,-35.44791774897273,16.49385316850387,0.049820094104622195,0.04705231109880985,0.39
Amatitlan,2026-02-07,36561,1462.44,4.30217412056766,4.447023790908544,0.8230141014408899,3.5033331455199783,3.9878717536058828,4.638279804332421,4.73835022533085,4.799476538346321,5.1104094082533615,-103.98719510102318,17.75559478518766,0.049232789037498975,0.043762479144443533,0.02
Amatitlan,2026-03-29,36594,1463.76,6.444631050274199,5.246020605481583,3.961353048007728,4.476247636515631,4.924205039335604,5.93803459790944,8.25178754874862,15.375461691617735,25.786122985103738,-68.66643879335447,51.996767566196795,0.019128818932065365,0.019128818932065365,0.01
Amatitlan,2026-04-13,36786,1471.44,6.770616732911887,6.402587291534023,1.7472541969757374,5.158734938770025,5.724341600427337,7.239475726349419,8.690736788134254,9.954259520114501,13.271915073189922,-22.344962417860188,36.591856990754216,0.02718425487957375,0.016310552927744252,0.09
Amatitlan,2026-04-28,34911,1396.44,9.922745028010869,6.444704506817514,7.495504171576935,3.896954301773063,4.2265290269817815,14.396878946789647,21.34846348607249,26.102035319941084,32.28603067388076,-8.095367428579598,47.14488528541349,0.031508693534988974,0.028644266849989972,4.96
