experimento,train,test,ejecutable,motivo,modelo,perfil,prevalencia_train,prevalencia_test,scale_pos_weight,umbral_op,etiqueta,umbral,n,prevalencia_real,TP,TN,FP,FN,accuracy,precision,recall,f1,f2,roc_auc,pr_auc,balanced_accuracy,specificity,fpr,fnr,mcc,brier
A,Atitlan,Amatitlan,True,,random_forest,standard,0.0006404787325313149,0.1451184298103822,1560.3320930232558,0.37439169398292604,umbral_0.5,0.5,399646,0.1451184298103822,924,341579,71,57072,0.8570159591238246,0.928643216080402,0.015932133250569004,0.0313268125646285,0.019830113443700934,0.9517969366054979,0.7850530354481451,0.5078621591176012,0.9997921849846334,0.00020781501536660326,0.984067866749431,0.11113569979515937,0.118463928982606
A,Atitlan,Amatitlan,True,,random_forest,standard,0.0006404787325313149,0.1451184298103822,1560.3320930232558,0.37439169398292604,umbral_operacional,0.37439169398292604,399646,0.1451184298103822,2324,341456,194,55672,0.8602112869889853,0.9229547259729944,0.04007172908476447,0.0768086723733351,0.049551816189200945,0.9517969366054979,0.7850530354481451,0.5197519482537828,0.9994321674228012,0.0005678325771988877,0.9599282709152356,0.17584764267305023,0.118463928982606
B,Amatitlan,Atitlan,True,,random_forest,standard,0.1451184298103822,0.0006404787325313149,5.890923511966342,0.9173093870728418,umbral_0.5,0.5,3356864,0.0006404787325313149,1665,3352829,1885,485,0.9992939839087911,0.46901408450704224,0.7744186046511627,0.5842105263157895,0.6851851851851852,0.9938714429071838,0.5080622024008341,0.8869283543818818,0.9994381041126009,0.0005618958873990451,0.2255813953488372,0.6023601668036083,0.0005802578050984631
B,Amatitlan,Atitlan,True,,random_forest,standard,0.1451184298103822,0.0006404787325313149,5.890923511966342,0.9173093870728418,umbral_operacional,0.9173093870728418,3356864,0.0006404787325313149,282,3354522,192,1868,0.9993863320051095,0.5949367088607594,0.13116279069767442,0.2149390243902439,0.155389023583866,0.9938714429071838,0.5080622024008341,0.5655527789004604,0.9999427671032464,5.723289675364278e-05,0.8688372093023256,0.27915325939077773,0.0005802578050984631
