lake,date,n_total,chl_mediana,chl_p99,chl_max,pct_alta_8,pct_alta_20,pct_alta_25,pct_alta_50
Amatitlan,2025-01-28,36550,4.483237266540527,5.356033716201786,23.556203842163086,0.12038303693570451,0.013679890560875513,0.0,0.0
Amatitlan,2025-04-15,36184,4.580968856811523,9.388740291595445,26.283597946166992,2.0423391554278134,0.008290957329206278,0.0027636524430687598,0.0
Amatitlan,2025-04-28,36184,4.87721586227417,17.92527851104735,42.4432487487793,13.575060800353747,0.5720760557152332,0.17687375635640062,0.0
Amatitlan,2025-11-24,36434,4.008469104766846,21.089125022888034,113.82847595214844,2.824285008508536,1.0457265191853762,0.8316407751001811,0.41719273206345725
Amatitlan,2026-01-08,36668,4.889109134674072,51.50837345123306,130.11810302734375,9.501472673720954,3.1771571942838444,2.5008181520671977,1.0445074724555472
Amatitlan,2026-02-02,36130,4.392299175262451,4.970111289024352,16.493854522705078,0.01660669803487407,0.0,0.0,0.0
Amatitlan,2026-02-07,36561,4.447024345397949,5.110409450531009,17.755592346191406,0.09573042312847023,0.0,0.0,0.0
Amatitlan,2026-03-29,36594,5.246020317077637,25.78612518310547,51.996768951416016,10.673880964092476,2.825599825107941,1.2597693610974476,0.002732688418866481
Amatitlan,2026-04-13,36786,6.402587413787842,13.271914768219014,36.59186553955078,15.220464307073343,0.08427119012667862,0.032621105855488504,0.0
Amatitlan,2026-04-28,34911,6.444705009460449,32.286033630371094,47.14488220214844,43.499183638394776,12.136575864340752,6.101228839047865,0.0
Amatitlan,2026-06-19,36644,10.662357330322266,35.61620571136474,81.32791900634766,62.91889531710512,7.381836044099989,3.5285449186770004,0.18556926099770768
Atitlan,2025-01-18,307893,0.33309465646743774,4.281201686859141,30.942659378051758,0.09061589578197621,0.003247881569246459,0.0006495763138492917,0.0
Atitlan,2025-04-13,305329,1.725504994392395,3.859560489654541,15.975543975830078,0.006550311303544701,0.0,0.0,0.0
Atitlan,2025-05-13,305290,1.249790072441101,3.910772855281824,18.37651252746582,0.007533820302007927,0.0,0.0,0.0
Atitlan,2025-07-17,298689,1.1244797706604004,4.395524387359617,135.8611297607422,0.1168439413570637,0.0026783711485859874,0.0020087783614394904,0.0013391855742929937
Atitlan,2025-11-21,305298,0.23240181803703308,4.253578968048089,29.513336181640625,0.10907375744354696,0.004585683496125098,0.0006550976423035853,0.0
Atitlan,2025-12-29,309406,0.4669399559497833,4.384180235862734,26.006404876708984,0.08306238405202226,0.003231999379456119,0.00032319993794561195,0.0
Atitlan,2026-02-12,306130,0.8776199817657471,3.943754196166992,32.880401611328125,0.05193871884493516,0.0016332930454382127,0.000653317218175285,0.0
Atitlan,2026-03-24,305432,1.2248549461364746,3.762688195705415,17.317344665527344,0.01309620471987218,0.0,0.0,0.0
Atitlan,2026-04-13,304666,2.182201385498047,4.071000099182129,15.379681587219238,0.0203501539390677,0.0,0.0,0.0
Atitlan,2026-04-28,304625,1.865255355834961,4.071000099182129,14.733237266540527,0.007550266721378745,0.0,0.0,0.0
Atitlan,2026-07-22,304106,1.1048470735549927,4.394204711914074,25.139585494995117,0.19894378933661291,0.005590156064003999,0.00032883270964729404,0.0
