grupo,n,advertencia,etiqueta,umbral,prevalencia_real,TP,TN,FP,FN,accuracy,precision,recall,f1,f2,roc_auc,pr_auc,balanced_accuracy,specificity,fpr,fnr,mcc,brier,area_FP_ha,area_FN_ha,area_error_ha
"('Amatitlan', '2025-01-28')",36550,,"('Amatitlan', '2025-01-28')",0.9407730597461879,0.001203830369357045,0,36504,2,44,0.9987414500683994,0.0,0.0,0.0,0.0,0.9964389415438558,0.34409518981513876,0.49997260724264503,0.9999452144852901,5.47855147099107e-05,1.0,-0.000256819149395496,0.0012526491191238165,0.08,1.76,1.84
"('Amatitlan', '2025-04-15')",36184,,"('Amatitlan', '2025-04-15')",0.9407730597461879,0.020423391554278133,457,35396,49,282,0.9908523104134425,0.9031620553359684,0.618403247631935,0.734136546184739,0.6600231080300404,0.9955026092951953,0.8637491146175158,0.8085104120794744,0.9986175765270137,0.0013824234729863168,0.38159675236806495,0.7432313531615156,0.01767093315720558,1.96,11.28,13.24
"('Amatitlan', '2025-04-28')",36184,,"('Amatitlan', '2025-04-28')",0.9407730597461879,0.13575060800353747,3197,31167,105,1715,0.9497015255361486,0.9682010902483343,0.6508550488599348,0.778427075724373,0.6965141612200436,0.9914912116853449,0.9507093182308303,0.8237487063179183,0.9966423637759018,0.003357636224098235,0.34914495114006516,0.7701536857083343,0.03428798168897629,4.2,68.60000000000001,72.8
"('Amatitlan', '2025-11-24')",36434,,"('Amatitlan', '2025-11-24')",0.9407730597461879,0.02824285008508536,591,35395,10,438,0.9877037931602349,0.9833610648918469,0.5743440233236151,0.7251533742331289,0.6264574941700233,0.9955704976525281,0.9014718711273771,0.7870307886707046,0.999717554017794,0.00028244598220590313,0.42565597667638483,0.7466544295864227,0.008759665302932262,0.4,17.52,17.92
"('Amatitlan', '2026-01-08')",36668,,"('Amatitlan', '2026-01-08')",0.9407730597461879,0.09501472673720955,2471,33127,57,1013,0.9708192429366205,0.9774525316455697,0.7092422502870264,0.822022621423819,0.7504251700680272,0.9965551036035238,0.969224512736356,0.8537622775060976,0.9982823047251688,0.001717695274831244,0.2907577497129736,0.8188882964166185,0.015309616923332214,2.2800000000000002,40.52,42.800000000000004
"('Amatitlan', '2026-02-02')",36130,,"('Amatitlan', '2026-02-02')",0.9407730597461879,0.00016606698034874067,0,36124,0,6,0.9998339330196513,0.0,0.0,0.0,0.0,0.9995801498542058,0.54880174291939,0.5,1.0,0.0,1.0,0.0,0.0004309742071200162,0.0,0.24,0.24
"('Amatitlan', '2026-02-07')",36561,,"('Amatitlan', '2026-02-07')",0.9407730597461879,0.0009573042312847023,0,36526,0,35,0.9990426957687153,0.0,0.0,0.0,0.0,0.9983815833730962,0.5056904302540536,0.5,1.0,0.0,1.0,0.0,0.0008630428346805274,0.0,1.4000000000000001,1.4000000000000001
"('Amatitlan', '2026-03-29')",36594,,"('Amatitlan', '2026-03-29')",0.9407730597461879,0.10673880964092475,2351,32685,3,1555,0.9574247144340602,0.9987255734919286,0.6018945212493599,0.7511182108626198,0.653854711313828,0.9957076450151744,0.9707369737706815,0.8009013722252674,0.9999082232011748,9.177679882525697e-05,0.39810547875064006,0.7574332235721492,0.0154117988422513,0.12,62.2,62.32
"('Amatitlan', '2026-04-13')",36786,,"('Amatitlan', '2026-04-13')",0.9407730597461879,0.15220464307073342,2718,31041,146,2881,0.9177132604795303,0.9490223463687151,0.48544382925522417,0.6423254165189649,0.5380047505938242,0.9785998406686791,0.897478571600936,0.7403811957383313,0.9953185622214384,0.00468143777856158,0.5145561707447759,0.6445331942990781,0.048835642635822296,5.84,115.24000000000001,121.08
"('Amatitlan', '2026-04-28')",34911,,"('Amatitlan', '2026-04-28')",0.9407730597461879,0.4349918363839477,13478,19543,182,1708,0.945862335653519,0.9866764275256222,0.887527986303174,0.9344796505581363,0.9057308746841568,0.9959204921082504,0.9947199493696718,0.9391505584240838,0.9907731305449936,0.009226869455006337,0.11247201369682602,0.8921925724454453,0.031141387298703194,7.28,68.32000000000001,75.60000000000001
