variable,shap_abs_media
B07,0.21082880574008814
B03,0.09296356135187525
B8A,0.06594196660400022
B08,0.0617213268264794
B02,0.03796383104144376
B12,0.031201216580498667
NDWI,0.03041627180906762
B11,0.0269388974222998
