variable,caida_media_pr_auc,desviacion
B07,0.8758724775349389,0.0039248168091831626
B03,0.0691600045156888,0.0013168997160340177
NDWI,0.06446653838702701,0.0017200919378989076
B08,0.05385874197613831,0.002360552739773901
B8A,0.04940168086237891,0.0017103323080041302
B02,0.03175939796861025,0.0015329414060273668
B12,0.022720181427933816,0.0010035644529702303
B11,0.016780047620404036,0.00048597786052727803
