variable,importancia_impureza
B07,0.32954116956870927
B03,0.22098433077678203
B08,0.14880255887228694
B8A,0.14450950540395388
NDWI,0.06872050461155998
B02,0.04116661405138889
B11,0.025882607503929372
B12,0.02039270921138951
