modelo,perfil,semilla,etiqueta,umbral,n,prevalencia_real,TP,TN,FP,FN,accuracy,precision,recall,f1,f2,roc_auc,pr_auc,balanced_accuracy,specificity,fpr,fnr,mcc,brier
random_forest,standard,42,umbral_0.5,0.5,1126953,0.0160113154674596,17401,1105959,2950,643,0.9968117570120492,0.8550439781828902,0.9643648858346264,0.9064201067847376,0.9403201227749738,0.9995691921806528,0.981435854681458,0.9808523067203844,0.9973397276061426,0.0026602723938573,0.0356351141653735,0.9064992731966672,0.00233795787894
random_forest,standard,42,umbral_operacional,0.940773059746188,1126953,0.0160113154674596,14578,1108671,238,3466,0.99671326133388,0.9839362850971922,0.8079139880292618,0.8872793670115642,0.8378931395990435,0.9995691921806528,0.981435854681458,0.9038496813316244,0.9997853746339872,0.0002146253660129,0.1920860119707381,0.8900603895946319,0.00233795787894
xgboost,standard,42,umbral_0.5,0.5,1126953,0.0160113154674596,17836,1102978,5931,208,0.9945525678533178,0.7504523078217696,0.9884726224783862,0.8531726100786874,0.9295102300324152,0.9996567133472324,0.9825686536789764,0.9915620611429272,0.9946514998074684,0.0053485001925315,0.0115273775216138,0.8588378214128456,0.0042857923544943
xgboost,standard,42,umbral_operacional,0.9964532852172852,1126953,0.0160113154674596,14526,1108699,210,3518,0.9966919649710324,0.9857491856677524,0.8050321436488583,0.8862721171446004,0.8356728645066274,0.9996567133472324,0.9825686536789764,0.9024213841629528,0.9998106246770474,0.0001893753229525,0.1949678563511416,0.8892847373530468,0.0042857923544943
logistic,standard,42,umbral_0.5,0.5,1126953,0.0160113154674596,17949,1088490,20419,95,0.9817969338561591,0.4678117180984153,0.9947350919973398,0.6363539672410126,0.8118486756404689,0.9979206241049313,0.913536640460088,0.9881607490477929,0.9815864060982461,0.018413593901753886,0.005264908002660164,0.6757584143704674,0.014057019725441933
logistic,standard,42,umbral_operacional,0.9722217321395874,1126953,0.0160113154674596,14456,1107035,1874,3588,0.9951533027553057,0.885241886099204,0.8011527377521613,0.8411008320242044,0.8166677965335684,0.9979206241049313,0.913536640460088,0.8997313942208114,0.9983100506894614,0.0016899493105385563,0.1988472622478386,0.8397232799341439,0.014057019725441933
